track_id,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time
1,37.977391,23.737688,4.9178,0.0518,-0.0299,0.04,37.977391,23.737688,4.916,-0.0519,-0.0413,0.08,37.97739,23.737688,4.9057,-0.0914,-0.0478,0.12,37.97739,23.737689,4.8871,-0.1679,-0.055,0.16,37.977389,23.737689,4.8547,-0.2815,-0.0628,0.2,37.977389,23.737689,4.8033,-0.432,-0.0713,0.24,37.977388,23.73769,4.7318,-0.5617,-0.0804,0.28
2,37.977642,23.7374,16.9759,-0.0361,-0.0228,0.04,37.977641,23.737404,16.9771,0.0362,-0.0296,0.08,37.977641,23.737407,16.9843,0.0638,-0.033,0.12,37.977641,23.737409,16.9974,0.1172,-0.0365,0.16,37.97764,23.737411,17.0199,0.1964,-0.04,0.2,37.97764,23.737413,17.0558,0.3015,-0.0435,0.24,37.97764,23.737415,17.1067,0.406,-0.0471,0.28
3,37.977997,23.737264,20.1906,-0.0795,-0.3395,0.04,37.977993,23.737266,20.1933,0.0798,-0.4371,0.08,37.977991,23.737267,20.2092,0.1405,-0.4849,0.12,37.977989,23.737269,20.2379,0.258,-0.5318,0.16,37.977988,23.73727,20.2876,0.4324,-0.5779,0.2,37.977986,23.737271,20.3665,0.6637,-0.6234,0.24,37.977984,23.737272,20.4772,0.8747,-0.6687,0.28
4,37.978135,23.737072,2.7555,-0.0302,0.0948,0.04,37.978134,23.737072,2.7565,0.0302,0.1143,0.08,37.978134,23.737072,2.7625,0.0532,0.122,0.12,37.978134,23.737072,2.7734,0.0978,0.1282,0.16,37.978134,23.737073,2.7922,0.164,0.1329,0.2,37.978133,23.737073,2.8221,0.2518,0.1365,0.24,37.978133,23.737073,2.8634,0.3218,0.1397,0.28
5,37.978134,23.737103,0,0,0,0.04,37.978134,23.737103,0,0,0,0.08,37.978134,23.737103,0,0,0,0.12,37.978134,23.737103,0,0,0,0.16,37.978134,23.737103,0,0,0,0.2,37.978134,23.737103,0,0,0,0.24,37.978134,23.737103,0,0,0,0.28
6,37.978152,23.73712,0,0,0,0.04,37.978152,23.73712,0,0,0,0.08,37.978152,23.73712,0,0,0,0.12,37.978152,23.73712,0,0,0,0.16,37.978152,23.73712,0,0,0,0.2,37.978152,23.73712,0,0,0,0.24,37.978152,23.73712,0,0,0,0.28
7,37.978145,23.737161,0,0,0,0.04,37.978145,23.737161,0,0,0,0.08,37.978145,23.737161,0,0,0,0.12,37.978145,23.737161,0,0,0,0.16,37.978145,23.737161,0,0,0,0.2,37.978145,23.737161,0,0,0,0.24,37.978145,23.737161,0,0,0,0.28
8,37.97823,23.737089,0,0,0,0.04,37.97823,23.737089,0,0,0,0.08,37.97823,23.737089,0,0,0,0.12,37.97823,23.737089,0,0,0,0.16,37.97823,23.737089,0,0,0,0.2,37.97823,23.737089,0,0,0,0.24,37.97823,23.737089,0,0,0,0.28
9,37.978185,23.737128,0,0,0,0.04,37.978185,23.737128,0,0,0,0.08,37.978185,23.737128,0,0,0,0.12,37.978185,23.737128,0,0,0,0.16,37.978185,23.737128,0,0,0,0.2,37.978185,23.737128,0,0,0,0.24,37.978185,23.737128,0,0,0,0.28
10,37.97819,23.73705,4.0538,0.1084,0,0.04,37.978189,23.737051,4.05,-0.1086,0,0.08,37.978189,23.737051,4.0285,-0.1913,0,0.12,37.978189,23.737052,3.9894,-0.3514,0,0.16,37.978188,23.737052,3.9217,-0.589,0,0.2,37.978188,23.737052,3.8142,-0.904,0,0.24,37.978188,23.737052,3.6621,-1.2078,0,0.28
11,37.978323,23.737009,16.7265,0.1511,-0.0366,0.04,37.97832,23.737012,16.7213,-0.1513,-0.05,0.08,37.978319,23.737013,16.6912,-0.2665,-0.0569,0.12,37.978318,23.737014,16.6367,-0.4898,-0.0638,0.16,37.978316,23.737015,16.5424,-0.8209,-0.0708,0.2,37.978315,23.737016,16.3925,-1.2601,-0.0779,0.24,37.978313,23.737018,16.1806,-1.6832,-0.085,0.28
12,37.978151,23.737094,0,0,0,0.04,37.978151,23.737094,0,0,0,0.08,37.978151,23.737094,0,0,0,0.12,37.978151,23.737094,0,0,0,0.16,37.978151,23.737094,0,0,0,0.2,37.978151,23.737094,0,0,0,0.24,37.978151,23.737094,0,0,0,0.28
13,37.97814,23.737088,0,0,0,0.04,37.97814,23.737088,0,0,0,0.08,37.97814,23.737088,0,0,0,0.12,37.97814,23.737088,0,0,0,0.16,37.97814,23.737088,0,0,0,0.2,37.97814,23.737088,0,0,0,0.24,37.97814,23.737088,0,0,0,0.28
14,37.97839,23.736929,20.9192,0.1948,0.0072,0.04,37.978386,23.736931,20.9701,0.1688,0.0095,0.08,37.978385,23.736933,20.9936,0.1573,0.0107,0.12,37.978383,23.736934,21.0132,0.1154,0.0119,0.16,37.978381,23.736936,21.0246,0.0433,0.0131,0.2,37.978379,23.736937,21.0241,-0.0505,0.0144,0.24,37.978378,23.736939,21.0115,-0.1241,0.0156,0.28
15,37.978621,23.736722,29.6883,0.3446,-0.0215,0.04,37.978616,23.736726,29.7783,0.2986,-0.0284,0.08,37.978614,23.736728,29.8199,0.2782,-0.032,0.12,37.978611,23.73673,29.8546,0.2042,-0.0356,0.16,37.978609,23.736732,29.8748,0.0765,-0.0394,0.2,37.978606,23.736734,29.8739,-0.0894,-0.0431,0.24,37.978604,23.736736,29.8516,-0.2195,-0.047,0.28
16,37.978729,23.736634,25.5247,-0.0275,0.0918,0.04,37.978725,23.736637,25.5175,-0.0239,0.1203,0.08,37.978723,23.736639,25.5141,-0.0222,0.1347,0.12,37.978721,23.736641,25.5114,-0.0163,0.1491,0.16,37.978719,23.736643,25.5098,-0.0061,0.1637,0.2,37.978716,23.736645,25.5098,0.0071,0.1784,0.24,37.978714,23.736647,25.5116,0.0175,0.1932,0.28
17,37.978713,23.736705,32.5218,0.6775,0.0502,0.04,37.978707,23.736709,32.6988,0.5871,0.0676,0.08,37.978705,23.736712,32.7805,0.547,0.0768,0.12,37.978702,23.736714,32.8487,0.4015,0.0865,0.16,37.978699,23.736716,32.8885,0.1505,0.0967,0.2,37.978697,23.736718,32.8867,-0.1756,0.1074,0.24,37.978694,23.736721,32.843,-0.4316,0.1184,0.28
18,37.977925,23.737205,0,0,0,0.04,37.977925,23.737205,0,0,0,0.08,37.977925,23.737205,0,0,0,0.12,37.977925,23.737205,0,0,0,0.16,37.977925,23.737205,0,0,0,0.2,37.977925,23.737205,0,0,0,0.24,37.977925,23.737205,0,0,0,0.28
19,37.978829,23.736359,0,0,0,0.04,37.978829,23.736359,0,0,0,0.08,37.978829,23.736359,0,0,0,0.12,37.978829,23.736359,0,0,0,0.16,37.978829,23.736359,0,0,0,0.2,37.978829,23.736359,0,0,0,0.24,37.978829,23.736359,0,0,0,0.28
20,37.97882,23.736572,29.6666,0.0448,-0.0101,0.04,37.978815,23.736575,29.6783,0.0388,-0.0133,0.08,37.978812,23.736577,29.6837,0.0361,-0.0148,0.12,37.978809,23.736579,29.6882,0.0265,-0.0163,0.16,37.978807,23.736581,29.6908,0.0099,-0.0179,0.2,37.978804,23.736583,29.6907,-0.0116,-0.0194,0.24,37.978802,23.736585,29.6878,-0.0285,-0.0209,0.28
21,37.978868,23.736575,26.33,-0.2064,0.0134,0.04,37.978864,23.736579,26.276,-0.1789,0.0172,0.08,37.978862,23.73658,26.2511,-0.1666,0.0191,0.12,37.97886,23.736582,26.2303,-0.1223,0.021,0.16,37.978857,23.736584,26.2182,-0.0458,0.0228,0.2,37.978855,23.736586,26.2188,0.0535,0.0245,0.24,37.978853,23.736588,26.2321,0.1315,0.0262,0.28
22,37.978922,23.736491,20.5704,0.0066,-0.0176,0.04,37.978918,23.736494,20.5721,0.0057,-0.023,0.08,37.978917,23.736495,20.5729,0.0053,-0.0257,0.12,37.978915,23.736497,20.5736,0.0039,-0.0285,0.16,37.978913,23.736498,20.5739,0.0015,-0.0312,0.2,37.978912,23.736499,20.5739,-0.0017,-0.034,0.24,37.97891,23.736501,20.5735,-0.0042,-0.0367,0.28
23,37.978998,23.736384,25.6994,-0.0273,0.0882,0.04,37.978994,23.736388,25.6923,-0.0236,0.1152,0.08,37.978992,23.73639,25.689,-0.022,0.1286,0.12,37.97899,23.736392,25.6862,-0.0162,0.142,0.16,37.978988,23.736393,25.6846,-0.0061,0.1553,0.2,37.978986,23.736395,25.6847,0.0071,0.1687,0.24,37.978983,23.736397,25.6865,0.0174,0.182,0.28
